question_id,topic,subtopic,difficulty,question_type,question_text,option_a,option_b,option_c,option_d,correct_answer,marks
Q001,Mathematics,Algebra,Easy,MCQ,What is the value of x in the equation 2x + 4 = 10?,x = 1,x = 2,x = 3,x = 4,C,1
Q002,Mathematics,Algebra,Easy,MCQ,Which of the following is a linear equation?,x^2 + 1 = 0,2x + 3 = 7,x^3 = 8,x^2 - 4 = 0,B,1
Q003,Mathematics,Algebra,Easy,MCQ,What is the value of 3^2?,6,9,12,8,B,1
Q004,Mathematics,Algebra,Easy,Short Answer,Simplify the expression: 3a + 2b - a + 4b.,,,,,"2a + 6b",2
Q005,Mathematics,Algebra,Easy,Short Answer,What is the slope of the line y = 4x - 7?,,,,,"4",2
Q006,Mathematics,Algebra,Easy,Long Answer,Explain the difference between an expression and an equation. Provide two examples of each.,,,,,See model answer,5
Q007,Mathematics,Algebra,Medium,MCQ,If f(x) = 3x^2 - 2x + 1 then f(2) equals:,9,13,11,17,B,1
Q008,Mathematics,Algebra,Medium,MCQ,"The roots of x^2 - 5x + 6 = 0 are:","2, 3","1, 6","-2, -3","3, 4",A,1
Q009,Mathematics,Algebra,Medium,MCQ,What is the value of the discriminant for 2x^2 + 3x - 2 = 0?,9,25,17,1,B,1
Q010,Mathematics,Algebra,Medium,Short Answer,"Solve the simultaneous equations: 2x + y = 7 and x - y = 2.",,,,,x=3 and y=1,3
Q011,Mathematics,Algebra,Medium,Short Answer,Factorise the expression: x^2 - 9.,,,,,"(x+3)(x-3)",3
Q012,Mathematics,Algebra,Medium,Long Answer,Derive the quadratic formula from ax^2 + bx + c = 0 and use it to solve 2x^2 - 5x + 2 = 0.,,,,,See model answer,8
Q013,Mathematics,Algebra,Hard,MCQ,"If the sum of roots of ax^2 + bx + c = 0 is 3 and product is -4, which equation matches?",x^2 - 3x - 4 = 0,x^2 + 3x - 4 = 0,x^2 - 3x + 4 = 0,x^2 + 3x + 4 = 0,A,1
Q014,Mathematics,Algebra,Hard,MCQ,What is the range of the function f(x) = |2x - 3|?,All real numbers,Non-negative real numbers,Positive real numbers,Integers only,B,1
Q015,Mathematics,Algebra,Hard,MCQ,"If alpha and beta are roots of 3x^2 - 5x + 2 = 0, what is alpha^2 + beta^2?",13/9,5/9,25/9,1/3,A,2
Q016,Mathematics,Algebra,Hard,Short Answer,Prove that the square root of 2 is irrational.,,,,,See model proof,4
Q017,Mathematics,Algebra,Hard,Short Answer,Find the value of k if the equation kx^2 + 4x + 1 = 0 has equal roots.,,,,,k = 4,4
Q018,Mathematics,Algebra,Hard,Long Answer,"Using the theory of equations, discuss the nature of roots of a quadratic when the discriminant is zero, positive, and negative. Illustrate each case with an example.",,,,,See model answer,10
